N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"58,200",400,+0.69%,100,"3,474,413","5,969,783",49.82,"15,634,878",9.44,13.92,
2,LG에너지솔루션,"433,500","9,500",-2.14%,500,"1,014,390","234,000",5.08,"289,958",176.65,10.68,
3,SK하이닉스,"81,400",400,+0.49%,"5,000","592,594","728,002",49.83,"3,377,222",6.39,16.84,
4,삼성바이오로직스,"808,000","14,000",+1.76%,"2,500","575,086","71,174",10.77,"50,004",109.69,8.21,
5,삼성전자우,"53,600","1,500",+2.88%,100,"441,067","822,887",71.66,"801,371",8.70,N/A,
6,LG화학,"581,000","20,000",-3.33%,"5,000","410,142","70,592",48.18,"189,318",20.44,18.47,
7,삼성SDI,"583,000","20,000",-3.32%,"5,000","400,897","68,765",47.44,"355,716",23.91,8.45,
8,현대차,"159,000","1,500",-0.93%,"5,000","339,732","213,668",28.91,"574,817",7.09,6.84,
9,NAVER,"186,000","3,500",+1.92%,100,"305,131","164,049",48.55,"1,092,686",32.77,106.72,
10,카카오,"57,700","2,000",+3.59%,100,"257,002","445,410",26.67,"3,037,162",16.54,17.10,
11,기아,"61,100",900,-1.45%,"5,000","247,677","405,363",35.66,"1,578,661",5.36,14.69,
12,POSCO홀딩스,"278,500","4,000",+1.46%,"5,000","235,531","84,571",51.48,"326,527",4.56,13.97,
13,셀트리온,"163,000","2,500",+1.56%,"1,000","229,512","140,805",20.96,"286,564",40.17,16.04,
14,KB금융,"53,900","3,400",+6.73%,"5,000","220,396","408,897",73.37,"2,514,743",4.77,9.80,
15,삼성물산,"113,500","2,000",-1.73%,100,"212,117","186,887",16.85,"214,000",11.99,5.40,
16,신한지주,"39,450","3,050",+8.38%,"5,000","200,716","508,785",62.45,"3,866,147",4.40,8.80,
17,현대모비스,"207,000","4,000",+1.97%,"5,000","195,170","94,285",35.68,"207,155",8.17,6.87,
18,LG전자,"89,900",200,+0.22%,"5,000","147,119","163,648",26.51,"371,139",10.28,6.32,
19,포스코케미칼,"183,500","4,000",-2.13%,500,"142,145","77,463",8.07,"517,373",88.39,7.92,
20,삼성생명,"71,000",100,+0.14%,500,"142,000","200,000",13.75,"231,353",20.03,4.01,
21,SK,"187,500","1,000",-0.53%,200,"139,030","74,149",22.37,"85,343",4.06,10.19,
22,하나금융지주,"46,950","3,150",+7.19%,"5,000","138,927","295,903",70.44,"2,602,255",3.79,10.86,
23,SK이노베이션,"148,000","1,500",-1.00%,"5,000","136,849","92,466",26.09,"248,264",6.27,1.91,
24,카카오뱅크,"27,300","1,900",+7.48%,"5,000","130,147","476,731",13.82,"4,946,062",54.38,4.91,
25,한국전력,"19,800",250,+1.28%,"5,000","127,109","641,964",14.47,"1,554,541",-0.62,-7.99,
26,KT&G,"87,700",900,-1.02%,"5,000","120,406","137,292",43.62,"251,939",10.36,10.74,
27,LG,"76,500",200,+0.26%,"5,000","120,335","157,301",36.22,"179,512",5.57,12.36,
28,LG생활건강,"730,000","27,000",+3.84%,"5,000","114,013","15,618",35.92,"55,290",26.81,16.65,
29,삼성전기,"145,000","1,500",+1.05%,"5,000","108,306","74,694",29.17,"691,098",11.80,14.29,
30,SK텔레콤,"47,100",250,-0.53%,100,"103,070","218,833",45.71,"767,856",10.90,13.63,
31,고려아연,"518,000","4,000",-0.77%,"5,000","102,891","19,863",23.00,"82,935",13.54,11.07,
32,두산에너빌리티,"15,150",200,-1.30%,"5,000","96,704","638,308",11.99,"2,777,757",303.00,10.67,
33,HMM,"19,550",300,+1.56%,"5,000","95,607","489,039",9.96,"1,453,719",0.83,88.62,
34,엔씨소프트,"432,500","16,000",-3.57%,500,"94,951","21,954",45.09,"88,590",16.06,12.62,
35,현대중공업,"106,000","3,000",-2.75%,"5,000","94,100","88,773",6.29,"319,113",-13.25,-14.87,
36,삼성에스디에스,"120,500",500,+0.42%,500,"93,240","77,378",13.81,"67,468",9.72,8.80,
37,삼성화재,"195,500",500,+0.26%,500,"92,618","47,375",50.48,"71,143",8.54,7.09,
38,우리금융지주,"12,400",500,+4.20%,"5,000","90,280","728,061",40.05,"4,518,009",2.96,10.59,
39,KT,"33,750",0,0.00%,"5,000","88,125","261,112",43.09,"630,394",6.18,9.36,
40,S-Oil,"77,600","1,200",-1.52%,"2,500","87,364","112,583",79.64,"529,502",4.18,21.76,
41,대한항공,"23,250",200,+0.87%,"5,000","85,611","368,221",16.17,"1,372,170",4.63,11.60,
42,카카오페이,"62,400","3,900",+6.67%,500,"82,994","133,003",43.01,"1,913,820",-315.15,-2.45,
43,크래프톤,"165,500",500,-0.30%,100,"81,230","49,082",29.98,"330,698",12.08,17.86,
44,아모레퍼시픽,"137,500","6,000",+4.56%,500,"80,428","58,493",25.21,"252,811",138.89,4.20,
45,기업은행,"10,000",270,+2.77%,"5,000","79,743","797,426",12.81,"2,250,491",3.05,9.21,
46,한화솔루션,"40,300","1,900",-4.50%,"5,000","77,085","191,278",25.70,"3,184,350",26.51,8.79,
47,하이브,"172,000",500,+0.29%,500,"71,128","41,353",14.44,"171,822",26.00,6.83,
48,LG이노텍,"264,000","1,500",-0.56%,"5,000","62,481","23,667",23.68,"160,705",6.02,30.94,
49,현대글로비스,"159,500","3,000",-1.85%,500,"59,812","37,500",47.62,"111,000",5.50,14.41,
50,롯데케미칼,"173,500","3,500",+2.06%,"5,000","59,468","34,275",25.81,"142,664",28.37,9.87,
51,SK바이오사이언스,"75,100","1,900",+2.60%,500,"57,665","76,784",4.39,"303,895",20.65,38.08,
52,SK바이오팜,"70,000",0,0.00%,500,"54,819","78,313",6.44,"96,827",-113.09,15.75,
53,한국조선해양,"73,400","1,000",-1.34%,"5,000","51,947","70,773",20.26,"230,381",-8.12,-8.95,
54,메리츠화재,"46,750","1,750",-3.61%,500,"51,941","111,104",10.83,"194,978",6.20,26.12,
55,F&F,"135,500",500,-0.37%,100,"51,906","38,307",12.67,"159,912",12.82,N/A,
56,CJ제일제당,"338,000","11,000",-3.15%,"5,000","50,883","15,054",24.55,"165,760",8.30,10.76,
